id,Trans_id,stations,color,walktime,description
49,0,",B",#018835,14,"Warren Street"
49,1,",51,57,66",#F5C00E,5,"Market St @ Keenan Rd"
49,2,",86",#F5C00E,6,"Cambridge St @ Dustin St"
50,0,",E",#00843D,5,"Fenwood Road"
50,1,",Orange,Line",#EB841E,10,"Roxbury Crossing"
50,2,",35,39,66",#F5C00E,4,"Huntington Ave opp Fenwood Rd"
51,0,",B",#018835,14,"Warren Street"
51,1,",51,57,66",#F5C00E,5,"Market St @ Keenan Rd"
51,2,",86",#F5C00E,6,"Cambridge St @ Dustin St"
52,0,",Orange,Line",#EB841E,8,"Jackson Square"
52,1,",E",#00843D,9,"Health Street"
53,0,",Red,Line",#DA1721,8,Andrew
53,1,",Fairmount,Line,Franklin,Line",#8E44AD,11,Newmarket
53,2,",Greenbush,Kingston,Middleborough/Lakeville",#8E44AD,14,"JFK / UMass"
53,3,",8,41,16",#F5C00E,14,"JFK / UMass"
54,0,",Red,line",#EC211F,3,"JFK / UMass"
54,1,",Greenbush,Kingston",#B933AD,3,"JFK / UMass"
54,2,",Middleborough/Lakeville",#B933AD,3,"JFK / UMass"
54,3,",8,16,41",#F5C00E,3,"JFK / UMass"
55,0,",Framingham/Worcester",#8E44AD,6,Auburndale
55,1,",D",#00843D,11,Riverside
55,2,",558",#F5C00E,11,Riverside
55,3,",MBRS",#DA1721,11,Riverside
56,0,",Red,Line",#DA1721,10,"JFK / UMass"
56,1,",Kingston/Greenbush",#8E44AD,10,"JFK / UMass"
56,2,",Middleborough/Lakeville",#8E44AD,10,"JFK / UMass"
56,3,",8,16,41",#EB841E,10,"JFK / UMass"
57,0,",Fairmount,Line",#B933AD,7,"Four Corners/Geneva"
57,1,",14,22,28,29,45",#F5C00E,3,"Blue Hill Ave opp McLellan St"
57,2,",16",#F5C00E,3,"Old Rd @ Ellington St"
58,0,",Fairmount,Line",#B933AD,7,"Four Corners/Geneva"
58,1,",14,22,28,29,45",#F5C00E,3,"Blue Hill Ave opp McLellan St"
58,2,",16",#F5C00E,3,"Old Rd @ Ellington St"
59,0,",Red,Line",#DA1721,3,"JFK / UMass"
59,1,",Greenbush/Kingston",#B933AD,3,"JFK / UMass"
59,2,",Lakeville,Line",#B933AD,3,"JFK / UMass"
60,0,",Red,Line",#DA1721,6,"JFK / UMass"
60,1,",Greenbush,Line,Kingston,Line",#8E44AD,6,"JFK / UMass"
60,2,",Fairmount,Line,Franklin,Line",#8E44AD,15,"Uphams Corner"
60,3,",8,16,41",#F5C00E,6,"JFK / UMass"
61,0,",B",#018835,14,"Warren Street"
61,1,",51,57,66",#F5C00E,5,"Market St @ Keenan Rd"
61,2,",86",#F5C00E,6,"Cambridge St @ Dustin St"
62,0,",Red,LIne",#EC211F,8,"JFK / UMass"
62,1,",Greenbush/Kingston",#8E44AD,8,"JFK / UMass"
62,2,",Middleborough/Lakeville",#8E44AD,8,"JFK / UMass"
62,3,",8,16,41",#EB841E,8,"JFK / UMass"
62,4,",18",#EB841E,2,"Dorchster Ave @ Howes St"
63,0,",57,501",#F5C00E,2,"Washington St @ Oak Square Ave"
63,1,",64",#F5C00E,6,"Faneuil St @ Brooks St"
64,0,",B",#00843D,8,"Harvard Avenue"
64,1,",64,66,501",#F5C00E,1,"Cambridge Street"
65,0,",64",#F5C00E,6,"Brooks St @ Faneuil St"
65,1,",57,501",#F5C00E,8,"Washington St @ Foster St"
65,2,",86",#F5C00E,9,"Market St @ Sparhawk St"
66,0,",Greenbush,Line,Kingston,Line,Middleborough/Lakeville,Line",#8E44AD,11,"JFK / UMass"
66,1,",Red,Line",#DA1721,11,"JFK / UMass"
66,2,",8,16,41",#F5C00E,11,"JFK / UMass"
67,0,",B",#018835,14,"Warren Street"
67,1,",51,57,66",#F5C00E,5,"Market St @ Keenan Rd"
